year,hires,terminations,net_change,net_change_percent
2000,220,220,0,0.00
2001,1122,1122,0,0.00
2002,1067,1065,2,0.19
2003,1142,1131,11,0.96
2004,1135,1117,18,1.59
2005,1097,1063,34,3.10
2006,1118,1071,47,4.20
2007,1090,1047,43,3.94
2008,1108,1056,52,4.69
2009,1140,1083,57,5.00
2010,1099,1016,83,7.55
2011,1101,1024,77,6.99
2012,1103,1004,99,8.98
2013,1105,1002,103,9.32
2014,1053,958,95,9.02
2015,1059,937,122,11.52
2016,1122,983,139,12.39
2017,1091,950,141,12.92
2018,1147,1010,137,11.94
2019,1083,915,168,15.51
2020,1012,859,153,15.12
